投入日	9月23日																				
																					
製造番号	PI	部材名	W	H	寸法3	数量	識別番号	品名	色	板厚	開始時刻	NCNO	NCPI	NC部材名	NC数量	NC板厚	備考	数量突き合わせ	分割突き合わせ	検索順	製造番号順
562210	77131000	LUXﾊﾟﾈﾙ	892	576	0	16	60	ＬＵＸﾊﾟﾈﾙ(鋼板) ｶﾗｰ SH	KW-300	0.5	8:40	88049	77131000	LUXﾊﾟﾈﾙ             	16	0.5		TRUE	TRUE	1	1
553471	77131000	LUXﾊﾟﾈﾙ	767.5	571	0	2	310	ＬＵＸﾊﾟﾈﾙ(鋼板) ｶﾗｰ SH	KW-90	0.5	8:48	88698	77131000	LUXﾊﾟﾈﾙ             	2	0.5		TRUE	TRUE	2	2
553471	77131000	LUXﾊﾟﾈﾙ	601.5	571	0	2	310	ＬＵＸﾊﾟﾈﾙ(鋼板) ｶﾗｰ SH	KW-90	0.5	8:48	88699	77131000	LUXﾊﾟﾈﾙ             	2	0.5		TRUE	TRUE	3	2
557341	77131000	LUXﾊﾟﾈﾙ	902	516	0	8	50	ＬＵＸﾊﾟﾈﾙ(鋼板) ｶﾗｰ SH	KW-90	0.5	8:50	88143	77131000	LUXﾊﾟﾈﾙ             	8	0.5		TRUE	TRUE	4	3
557342	77131000	LUXﾊﾟﾈﾙ	932	516	0	20	50	ＬＵＸﾊﾟﾈﾙ(鋼板) ｶﾗｰ SH	KW-90	0.5	8:54	88148	77131000	LUXﾊﾟﾈﾙ             	20	0.5		TRUE	TRUE	5	4
557343	77131000	LUXﾊﾟﾈﾙ	742	516	0	4	50	ＬＵＸﾊﾟﾈﾙ(鋼板) ｶﾗｰ SH	KW-90	0.5	9:04	88151	77131000	LUXﾊﾟﾈﾙ             	4	0.5		TRUE	TRUE	6	5
557344	77131000	LUXﾊﾟﾈﾙ	896	516	0	16	50	ＬＵＸﾊﾟﾈﾙ(鋼板) ｶﾗｰ SH	KW-90	0.5	9:06	88155	77131000	LUXﾊﾟﾈﾙ             	16	0.5		TRUE	TRUE	7	6
561810	77131000	LUXﾊﾟﾈﾙ	892	616	0	20	150	ＬＵＸﾊﾟﾈﾙ(鋼板) ｶﾗｰ SH	KW-90	0.5	9:14	88511	77131000	LUXﾊﾟﾈﾙ             	20	0.5		TRUE	TRUE	8	7
561810	77131000	LUXﾊﾟﾈﾙ	857	616	0	2	150	ＬＵＸﾊﾟﾈﾙ(鋼板) ｶﾗｰ SH	KW-90	0.5	9:14	88512	77131000	LUXﾊﾟﾈﾙ             	2	0.5		TRUE	TRUE	9	7
561810	77131000	LUXﾊﾟﾈﾙ	604	616	0	2	150	ＬＵＸﾊﾟﾈﾙ(鋼板) ｶﾗｰ SH	KW-90	0.5	9:14	88513	77131000	LUXﾊﾟﾈﾙ             	2	0.5		TRUE	TRUE	10	7
561811	77131000	LUXﾊﾟﾈﾙ	1019	616	0	2	140	ＬＵＸﾊﾟﾈﾙ(鋼板) ｶﾗｰ SH	KW-90	0.5	9:26	88517	77131000	LUXﾊﾟﾈﾙ             	2	0.5		TRUE	TRUE	11	8
561811	77131000	LUXﾊﾟﾈﾙ	892	616	0	8	140	ＬＵＸﾊﾟﾈﾙ(鋼板) ｶﾗｰ SH	KW-90	0.5	9:26	88518	77131000	LUXﾊﾟﾈﾙ             	8	0.5		TRUE	TRUE	12	8
561812	77131000	LUXﾊﾟﾈﾙ	1162	616	0	2	150	ＬＵＸﾊﾟﾈﾙ(鋼板) ｶﾗｰ SH	KW-90	0.5	9:31	88526	77131000	LUXﾊﾟﾈﾙ             	2	0.5		TRUE	TRUE	13	9
561812	77131000	LUXﾊﾟﾈﾙ	1063	616	0	2	150	ＬＵＸﾊﾟﾈﾙ(鋼板) ｶﾗｰ SH	KW-90	0.5	9:31	88527	77131000	LUXﾊﾟﾈﾙ             	2	0.5		TRUE	TRUE	14	9
561812	77131000	LUXﾊﾟﾈﾙ	980	616	0	2	150	ＬＵＸﾊﾟﾈﾙ(鋼板) ｶﾗｰ SH	KW-90	0.5	9:31	88528	77131000	LUXﾊﾟﾈﾙ             	2	0.5		TRUE	TRUE	15	9
