ＰＩコード	Ｈ寸法	Ｗ寸法	裏板	裏板Ｈ	裏板Ｗ	プラスタ	ﾌﾟﾗｽﾀＨ	ﾌﾟﾗｽﾀＷ	板厚	登録	備考
18131000	24	71	0			1	-3	-52	0.5		ｾﾞﾝﾊﾟｳﾗｲﾀﾅｼ ｶﾗｰ
18131100	24	71	0			1	-3	-52	0.5		ｾﾞﾝﾊﾟｳﾗｲﾀﾅｼ.ﾇﾘ
18131200	24	71	0			1	-3	-52	0.5		ｾﾞﾝﾊﾟｳﾗｲﾀﾅｼ
18132000	24	71	0			1	-3	-52	0.5		ﾊﾝﾊﾟ ｳﾗｲﾀﾅｼ ｶﾗｰ
18132100	24	71	0			1	-3	-52	0.5		ﾊﾝﾊﾟ ｳﾗｲﾀﾅｼ.ﾇﾘ
18132200	24	71	0			1	-3	-52	0.5		ﾊﾝﾊﾟ ｳﾗｲﾀﾅｼ
18133000	24	71	0			1	-3	-52	0.5		ｺｼﾊﾟ ｳﾗｲﾀﾅｼ.ｶﾗｰ
18133100	24	71	0			1	-3	-52	0.5		ｺｼﾊﾟ ｳﾗｲﾀﾅｼ.ﾇﾘ
18133200	24	71	0			1	-3	-52	0.5	May-02	ｺｼﾊﾟ ｳﾗｲﾀﾅｼ
18134000	24	71	0			1	-3	-52	0.5		ﾗﾝﾊﾟ ｳﾗｲﾀﾅｼ.ｶﾗｰ
18134100	24	71	0			1	-3	-52	0.5		ﾗﾝﾊﾟ ｳﾗｲﾀﾅｼ.ﾇﾘ
18134200	24	71	0			1	-3	-52	0.5	Dec-01	ﾗﾝﾊﾟ ｳﾗｲﾀﾅｼ
18135000	24	71	0			1	-3	-52	0.5		ﾀﾝﾊﾟ ｳﾗｲﾀﾅｼ.ｶﾗｰ
18135100	24	71	0			1	-3	-52	0.5		ﾀﾝﾊﾟ ｳﾗｲﾀﾅｼ.ﾇﾘ
18135200	24	71	0			1	-3	-52	0.5	Apr-02	ﾀﾝﾊﾟ ｳﾗｲﾀﾅｼ
18137000	24	71	0			1	-3	-52	0.5		ﾊﾟﾈﾙ ｳﾗｲﾀﾅｼ.ｶﾗｰ
18137100	24	24	0			1	-3	-3	0.5	Apr-03	ﾊﾟﾈﾙ ｳﾗｲﾀﾅｼ.ﾇﾘ
18141000	24	71	6SECC	-3	-52	1	-3	-52	0.5		ｾﾞﾝﾊﾟ ｾﾞﾝﾒﾝｳﾗｲﾀ.ｶﾗｰ
18141100	24	71	6SECC	-3	-52	1	-3	-52	0.5		ｾﾞﾝﾊﾟ ｾﾞﾝﾒﾝｳﾗｲﾀ.ﾇﾘ
18142000	24	71	6SECC	-3	-52	1	-3	-52	0.5		ﾊﾝﾊﾟ  ｾﾞﾝﾒﾝｳﾗｲﾀ.ｶﾗｰ
18142100	24	71	6SECC	-3	-52	1	-3	-52	0.5		ﾊﾝﾊﾟ  ｾﾞﾝﾒﾝｳﾗｲﾀ.ﾇﾘ
18143000	24	71	6SECC	-3	-52	1	-3	-52	0.5		ｺｼﾊﾟ  ｾﾞﾝﾒﾝｳﾗｲﾀ.ｶﾗｰ
18143100	24	71	6SECC	-3	-52	1	-3	-52	0.5		ｺｼﾊﾟ  ｾﾞﾝﾒﾝｳﾗｲﾀ.ﾇﾘ
18143200	24	71	6SECC	-3	-52	1	-3	-52	0.5	Mar-04	ｺｼﾊﾟ  ｾﾞﾝﾒﾝｳﾗｲﾀ
18144000	24	71	6SECC	-3	-52	1	-3	-52	0.5		ﾗﾝﾊﾟ  ｾﾞﾝﾒﾝｳﾗｲﾀ.ｶﾗｰ
18144100	24	71	6SECC	-3	-52	1	-3	-52	0.5		ﾗﾝﾊﾟ  ｾﾞﾝﾒﾝｳﾗｲﾀ.ﾇﾘ
18144200	24	71	6SECC	-3	-52	1	-3	-52	0.5		ﾗﾝﾊﾟ  ｾﾞﾝﾒﾝｳﾗｲﾀ
18145000	24	71	6SECC	-3	-52	1	-3	-52	0.5		ﾀﾝﾊﾟ  ｾﾞﾝﾒﾝｳﾗｲﾀ.ｶﾗｰ
18145100	24	71	6SECC	-3	-52	1	-3	-52	0.5		ﾀﾝﾊﾟ  ｾﾞﾝﾒﾝｳﾗｲﾀ.ﾇﾘ
18145200	24	71	0			1	-3	-52	0.5		ﾀﾝﾊﾟ  ｾﾞﾝﾒﾝｳﾗｲﾀ
28151000	35	35	0			1	-3	-15	0.5		MWEﾊﾟﾈﾙ
28151100	35	35	0			1	-3	-15	0.5		MWEﾊﾟﾈﾙ
28153000	35	35	0			1	-15	-3	0.5		MWEﾊﾟﾈﾙ(3ﾎﾟｳﾏｹﾞ)
28153100	35	35	0			1	-30	-3	0.5		MWEﾊﾟﾈﾙ(3ﾎﾟｳﾏｹﾞ)
28154000	35	35	0			1	-3	-3	0.5		MWEﾊﾟﾈﾙ(4ﾎｳﾏｹﾞ)
28154100	35	35	0			1	-3	-3	0.5		MWEﾊﾟﾈﾙ(4ﾎｳﾏｹﾞ)
28155000	26	26	0			1	-3	-3	0.5	Jul-02	MWEﾊﾟﾈﾙ(2L)
28155100	26	26	0			1	-3	-3	0.5		MWEﾊﾟﾈﾙ(2L)
28156000	18	35	0			1	-3	-3	0.5		SMWEﾊﾟﾈﾙ
28156100	18	35	0			1	-3	-3	0.5		SMWEﾊﾟﾈﾙ
28157000	35	35	0			1	-3	-15	0.5		MWEﾊﾟﾈﾙ.ｴﾘｵ
28157100	35	35	0			1	-3	-15	0.5		MWEﾊﾟﾈﾙ.ﾇﾘ
29151000	35	35	0			1	-3	-30	0.5		MSWﾊﾟﾈﾙ
29151100	35	35	0			1	-3	-30	0.5		MSWﾊﾟﾈﾙ
29152000	35	35	0			1	-3	-30	0.5		MSWﾊﾟﾈﾙ
29152100	35	35	0			1	-3	-30	0.5		MSWﾊﾟﾈﾙ
29153000	35	35	0			1	-3	-30	0.5		MSWﾊﾟﾈﾙ
29153100	35	35	0			1	-3	-30	0.5		MSWﾊﾟﾈﾙ
29154000	35	35	0			1	-3	-30	0.5		MWEﾊﾟﾈﾙ
29154100	35	35	0			1	-3	-30	0.5	Jun-03	MWEﾊﾟﾈﾙ
29155000	35	35	0			1	-3	-30	0.5		MWEﾊﾟﾈﾙ
29155100	35	35	0			1	-3	-30	0.5		MWEﾊﾟﾈﾙ
29156000	18	35	0			1	-3	-3	0.5		SMWEﾊﾟﾈﾙ
29156100	18	35	0			1	-3	-3	0.5		SMWEﾊﾟﾈﾙ
29157000	35	35	0			1	-3	-15	0.5		KF1ﾊﾟﾈﾙ
29157100	35	35	0			1	-3	-15	0.5		KF1ﾊﾟﾈﾙ
29158000	35	35	0			1	-3	-15	0.5		SKF1ﾊﾟﾈﾙ
29158100	35	35	0			1	-3	-15	0.5		SKF1ﾊﾟﾈﾙ
29161000	35	35	0			1	-3	-15	0.5		KF1ﾊﾝﾊﾟﾈﾙ
29161100	35	35	0			1	-3	-15	0.5		KF1ﾊﾝﾊﾟﾈﾙ
29162000	35	35	0			1	-3	-15	0.5		KF1ﾗﾝﾏﾊﾟﾈﾙ
29162100	35	35	0			1	-3	-15	0.5		KF1ﾗﾝﾏﾊﾟﾈﾙ
29163000	35	35	0			1	-3	-15	0.5		SKF1ﾊﾝﾊﾟﾈﾙ
29163100	35	35	0			1	-3	-15	0.5		SKF1ﾊﾝﾊﾟﾈﾙ
29164000	35	35	0			1	-3	-15	0.5		SKF1ﾗﾝﾏﾊﾟﾈﾙ
29164100	35	35	0			1	-3	-15	0.5		SKF1ﾗﾝﾏﾊﾟﾈﾙ
50230100	0	47	4SGCC	19	-3	1	-3	-3	0.4		ﾄﾌﾞｸﾛﾊﾟﾈﾙ1
50230300	0	47	4SGCC	19	-3	1	-103	-3	0.4		ﾄﾌﾞｸﾛﾊﾟﾈﾙ2(ﾎｷｮｳ ｺ)
50230600	0	47	4SGCC	19	-3	1	-203	-3	0.4		ﾄﾌﾞｸﾛﾊﾟﾈﾙ3(ﾎｷｮｳ ｺ)
50231300	0	47	4SGCC	19	-3	1	-3	-3	0.4		ﾄﾌﾞｸﾛﾊﾟﾈﾙ1
50231500	0	47	4SGCC	19	-3	1	-103	-3	0.4		ﾄﾌﾞｸﾛﾊﾟﾈﾙ2
50231800	0	47	4SGCC	19	-3	1	-3	-3	0.4		ﾄﾌﾞｸﾛﾊﾟﾈﾙ3
77131000	41	76	0			1	-20	-52	0.5		LUXﾊﾟﾈﾙ
77131100	41	76	0			1	-20	-52	0.5		LUXﾊﾟﾈﾙ ﾇﾘ
77132100	41	76	0			1	-20	-52	0.5		LUXﾊﾟﾈﾙ(ｳｴ) ﾇﾘ
77134000	41	71	0			1	-20	-52	0.5		SLUXﾊﾟﾈﾙ
77134100	41	71	0			1	-20	-52	0.5		SLUXﾊﾟﾈﾙ ﾇﾘ
77135100	41	71	0			1	-20	-52	0.5		SLUXﾊﾟﾈﾙ(ｳｴ) ﾇﾘ
77137000	24	71	0			1	-3	-52	0.5		MWﾊﾟﾈﾙ
77137100	24	71	0			1	-3	-52	0.5		MWﾊﾟﾈﾙ ﾇﾘ
77138100	24	71	0			1	-3	-52	0.5		MWﾊﾟﾈﾙ(ｳｴ) ﾇﾘ
77141000	41	76	5SECC	-20	-52	1	-20	-52	0.5		LUXﾊﾟﾈﾙ ｳﾗﾂｷ
77141100	41	76	5SECC	-20	-52	1	-20	-52	0.5		LUXﾊﾟﾈﾙ ｳﾗﾂｷ ﾇﾘ
77142100	41	76	5SECC	-20	-52	1	-20	-52	0.5		LUXﾊﾟﾈﾙ(ｳｴ)ｳﾗﾂｷ ﾇﾘ
77144000	41	71	5SECC	-20	-52	1	-20	-52	0.5		SLUXﾊﾟﾈﾙ ｳﾗﾂｷ
77144100	41	71	5SECC	-20	-52	1	-20	-52	0.5		SLUXﾊﾟﾈﾙ ｳﾗﾂｷ ﾇﾘ
77145100	41	71	5SECC	-20	-52	1	-20	-52	0.5		SLUXﾊﾟﾈﾙ(ｳｴ)ｳﾗﾂｷ ﾇﾘ
77147000	24	71	5SECC	-3	-52	1	-3	-52	0.5		MWﾊﾟﾈﾙ ｳﾗﾂｷ
77147100	24	71	5SECC	-3	-52	1	-3	-52	0.5		MWﾊﾟﾈﾙ ｳﾗﾂｷ ﾇﾘ
77148100	24	71	5SECC	-3	-52	1	-3	-52	0.5		MWﾊﾟﾈﾙ(ｳｴ)ｳﾗﾂｷ ﾇﾘ
ﾄｸ0ﾒｼﾞ	24	79	0			1	-3	-56	0.5		ﾄｸ目地なし
37060159	24	71	0			1	-3	-52	0.5	2011/10/17	ｾﾞﾝﾊﾟｳﾗｲﾀﾅｼｶﾗｰ
37060160	24	71	0			1	-3	-52	0.5		ｾﾞﾝﾊﾟｳﾗｲﾀﾅｼﾇﾘ
37060163	24	71	0			1	-3	-52	0.5		ﾗﾝﾊﾟｳﾗｲﾀﾅｼｶﾗｰ
37060164	24	71	0			1	-3	-52	0.5		ﾗﾝﾊﾟｳﾗｲﾀﾅｼﾇﾘ
