製番	ＰＩコード	品名	Ｗ寸法	Ｈ寸法	NCNO	数量	色	板厚	展開Ｈ	展開Ｗ	鋼板サイズ	資材コード	数量	ｺﾒﾝﾄ	面積	製品総面積	素材総面積	歩留まり率	差
559683	77131000	LUXﾊﾟﾈﾙ	1192	571	87254	2	KW-90	0.5	612	1268	KW90 0.5X1268X2062	064741	1	6	2614616	1552032	2614616	59%	1062584
559683	77131000	LUXﾊﾟﾈﾙ	892	571	87255	2	KW-90	0.5	612	968	KW90 0.5X968X612	064766	2		592416	1184832	1184832	100%	0
559683	77131000	LUXﾊﾟﾈﾙ	842	571	87256	2	KW-90	0.5	612	918	KW90 0.5X968X2062	064711	1		1996016	1123632	1996016	56%	872384
560450	77131000	LUXﾊﾟﾈﾙ	980	571	86957	4	KW-90	0.5	612	1056	KW90 0.5X1068X2456	064724	1		2623008	2585088	2623008	99%	37920
560450	77131000	LUXﾊﾟﾈﾙ	892	571	86958	18	KW-90	0.5	612	968	KW90 0.5X968X612	064766	18		592416	10663488	10663488	100%	0
560450	77131000	LUXﾊﾟﾈﾙ	513	571	86959	2	KW-90	0.5	612	589	1					720936		残材/多数子	
556940	77134100	SLUXﾊﾟﾈﾙ ﾇﾘ	892	471	86893	2	KWN-20	0.5	512	963	SE/E8 0.5X968X2062	021411	1		1996016	986112	1996016	49%	1009904
561530	77134100	SLUXﾊﾟﾈﾙ ﾇﾘ	892	325	87537	4	KWN-20	0.5	366	963	SE/E8 0.5X968X2456	021414	1	9	2377408	1409832	2377408	59%	967576
561530	77134100	SLUXﾊﾟﾈﾙ ﾇﾘ	585	325	87538	2	KWN-20	0.5	366	656	8					480192		残材/多数子	
554330	77134000	SLUXﾊﾟﾈﾙ	942	321	86398	2	KW-90	0.5	362	1013	KW90 0.5X868X2062	064701	1	11	1789816	733412	1789816	41%	1056404
554330	77134000	SLUXﾊﾟﾈﾙ	452	321	86399	2	KW-90	0.5	362	523	10					378652		残材/多数子	
558840	77134000	SLUXﾊﾟﾈﾙ	1192	476	86402	2	KW-90	0.5	517	1263	KW90 0.5X1268X2077	064742	1	13	2633636	1305942	2633636	50%	1327694
558842	77134000	SLUXﾊﾟﾈﾙ	1192	476	86437	6	KW-90	0.5	517	1263	KW90 0.5X1268X2077	064742	1	+12	2633636	3917826	2633636	149%	-1284190
558842	77134000	SLUXﾊﾟﾈﾙ	892	476	86438	4	KW-90	0.5	517	963	KW90 0.5X968X2077	064712	1		2010536	1991484	2010536	99%	19052
558843	77134000	SLUXﾊﾟﾈﾙ	1192	476	86411	2	KW-90	0.5	517	1263	KW90 0.5X1268X2062	064741	1	16 17	2614616	1305942	2614616	50%	1308674
559715	77134000	SLUXﾊﾟﾈﾙ	1092	370	86687	1	KW-90	0.5	411	1163	15					477993		残材/多数子	
559715	77144000	SLUXﾊﾟﾈﾙ ｳﾗﾂｷ	1092	370	86688	1	KW-90	0.5	411	1163	15					477993		残材/多数子	
559920	77134000	SLUXﾊﾟﾈﾙ	1057	371	86773	6	KW-90	0.5	412	1128	KW90 0.5X1268X2556	064747	1		3241008	2788416	3241008	86%	452592
559940	77134000	SLUXﾊﾟﾈﾙ	892	451	86734	8	KW-90	0.5	492	963	KW90 0.5X968X2062	064711	2		1996016	3790368	3992032	95%	201664
559940	77134000	SLUXﾊﾟﾈﾙ	754.5	451	86735	4	KW-90	0.5	492	825.5	KW90 0.5X868X2062	064701	1		1789816	1624584	1789816	91%	165232
559940	77134000	SLUXﾊﾟﾈﾙ	357	451	86736	2	KW-90	0.5	492	428	KW90 0.5X968X2062	064711	1	23 24	1996016	421152	1996016	21%	1574864
560400	77134000	SLUXﾊﾟﾈﾙ	1192	366	87112	4	KW-90	0.5	407	1263	KW90 0.5X1268X2062	064741	1	26	2614616	2056164	2614616	79%	558452
560400	77134000	SLUXﾊﾟﾈﾙ	892	366	87113	2	KW-90	0.5	407	963	21					783882		残材/多数子	
560460	77134000	SLUXﾊﾟﾈﾙ	892	366	86825	36	KW-90	0.5	407	963	KW90 0.5X968X2856	064709	5	+21	2764608	14109876	13823040	102%	-286836
560460	77134000	SLUXﾊﾟﾈﾙ	563	366	86826	2	KW-90	0.5	407	634	KW90 0.5X968X2062	064711	1	27	1996016	516076	1996016	26%	1479940
560460	77134000	SLUXﾊﾟﾈﾙ	556	366	86827	2	KW-90	0.5	407	627	22					510378		残材/多数子	
560700	77134000	SLUXﾊﾟﾈﾙ	892	361	86742	2	KW-90	0.5	402	963	25					774252		残材/多数子	
