資材コー	材質	T	W	H		syuko 					面積
021251	SE/E24	0.60 	968	2062	SE/E24 0.6X968X2062	2					1996016
021252	SE/E24	0.60 	968	2456	SE/E24 0.6X968X2456	2					2377408
021253	SE/E24	0.60 	968	2756	SE/E24 0.6X968X2756	2					2667808
021254	SE/E24	0.60 	968	3000	SE/E24 0.6X968X3000	2					2904000
021261	SE/E24	0.60 	1268	2062	SE/E24 0.6X1268X2062	2					2614616
021262	SE/E24	0.60 	1268	2456	SE/E24 0.6X1268X2456	2					3114208
021263	SE/E24	0.60 	1268	2756	SE/E24 0.6X1268X2756	2					3494608
021264	SE/E24	0.60 	1268	3000	SE/E24 0.6X1268X3000	2					3804000
021401	SE/E8	0.50 	868	2062	SE/E8 0.5X868X2062	2					1789816
021402	SE/E8	0.50 	868	2077	SE/E8 0.5X868X2077	2					1802836
021404	SE/E8	0.50 	868	2456	SE/E8 0.5X868X2456	2					2131808
021405	SE/E8	0.50 	868	2756	SE/E8 0.5X868X2756	2					2392208
021411	SE/E8	0.50 	968	2062	SE/E8 0.5X968X2062	2					1996016
021412	SE/E8	0.50 	968	2077	SE/E8 0.5X968X2077	2					2010536
021414	SE/E8	0.50 	968	2456	SE/E8 0.5X968X2456	2					2377408
021415	SE/E8	0.50 	968	2756	SE/E8 0.5X968X2756	2					2667808
021416	SE/E8	0.50 	968	2356	SE/E8 0.5X968X2356	2					2280608
021418	SE/E8	0.50 	968	962	SE/E8 0.5X968X962	3					931216
021419	SE/E8	0.50 	968	3030	SE/E8 0.5X968X3030	2					2933040
021420	SE/E8	0.50 	968	2556	SE/E8 0.5X968X2556	2					2474208
021421	SE/E8	0.50 	1068	2062	SE/E8 0.5X1068X2062	2					2202216
021422	SE/E8	0.50 	1068	2077	SE/E8 0.5X1068X2077	2					2218236
021424	SE/E8	0.50 	1068	2456	SE/E8 0.5X1068X2456	2					2623008
021425	SE/E8	0.50 	1068	2756	SE/E8 0.5X1068X2756	2					2943408
021429	SE/E8	0.50 	1068	3030	SE/E8 0.5X1068X3030	2					3236040
021431	SE/E8	0.50 	1168	2062	SE/E8 0.5X1168X2062	2					2408416
021432	SE/E8	0.50 	1168	2077	SE/E8 0.5X1168X2077	2					2425936
021434	SE/E8	0.50 	1168	2456	SE/E8 0.5X1168X2456	2					2868608
021435	SE/E8	0.50 	1168	2756	SE/E8 0.5X1168X2756	2					3219008
021439	SE/E8	0.50 	1168	3030	SE/E8 0.5X1168X3030	2					3539040
021441	SE/E8	0.50 	1268	2062	SE/E8 0.5X1268X2062	2					2614616
021442	SE/E8	0.50 	1268	2077	SE/E8 0.5X1268X2077	2					2633636
021444	SE/E8	0.50 	1268	2456	SE/E8 0.5X1268X2456	2					3114208
021445	SE/E8	0.50 	1268	2756	SE/E8 0.5X1268X2756	2					3494608
021449	SE/E8	0.50 	1268	3030	SE/E8 0.5X1268X3030	2					3842040
022021	SECC	0.8	963	2045	SECC 0.8X963X2045	2					1969335
022022	SECC	0.8	963	2439	SECC 0.8X963X2439	2					2348757
022023	SECC	0.8	963	2724	SECC 0.8X963X2724	2					2623212
022024	SECC	0.8	963	3000	SECC 0.8X963X3000	2					2889000
022061	SECC	0.8	1263	2045	SECC 0.8X1263X2045	2					2582835
022062	SECC	0.8	1263	2439	SECC 0.8X1263X2439	2					3080457
